title,detail_url,img_url
许千千 左上角的你,https://www.ku6.com/video/detail?id=vJWXUgw6P5LzeSRPflevd30COJY.,https://rbv01.ku6.com/wifi/o_1bvm40uog10lvfhk5n11rdk1augj
徐云霄 我想我没那么坚强， 每个女孩都一样,https://www.ku6.com/video/detail?id=_L4uOJDp_tFmoCO7w_6B0NtPVys.,https://rbv01.ku6.com/wifi/o_1bvmbgpr9tdi68i1bgm16pmvgsf
许千千 bilili 原声带,https://www.ku6.com/video/detail?id=JdbD1CHol07vI5e-BtelN7OQxmI.,https://rbv01.ku6.com/wifi/o_1bvm412uu1t26hks1i33op0443n
夜唱 徐云霄 好好,https://www.ku6.com/video/detail?id=CXPYMEpeL_NFXK2Sei8NPhjEWuk.,https://rbv01.ku6.com/wifi/o_1bvm420n33eordom6f1j77c351j
许千千 怦然心动 原声带,https://www.ku6.com/video/detail?id=-nQgX01xb1fEeuZE0BzVZVXPp6c.,https://rbv01.ku6.com/wifi/o_1bvm41c4e1iahi3t181d401ak4v
原声带 疯一样的男人----孟志 夜无声,https://www.ku6.com/video/detail?id=XyNSIpVMwr8kIah8X2XjwcvBFdY.,https://rbv01.ku6.com/wifi/o_1bvmdcd0f1b9fni515on1sfecvs1p
原声带 疯一样的男人---孟志 .离别.,https://www.ku6.com/video/detail?id=dND261mMeltVqaokNkPp0_jLO8g.,https://rbv01.ku6.com/wifi/o_1bvmdc2ug17guim1rnq12e230g1h
走着走着就老了哈尼比斯,https://www.ku6.com/video/detail?id=siSVmu8tkzi9hObmHlmYkhg56xk.,https://rbv01.ku6.com/wifi/o_1bvm79puidnjugmamg17ei1fona
原声带 爱像流星,https://www.ku6.com/video/detail?id=w5TN9gWjzuhGRdXW2nrGsa3oC3w.,https://rbv01.ku6.com/wifi/o_1bvmd90nqvc16mr52q1v8bru9k
原声带 张东朗 维西谣,https://www.ku6.com/video/detail?id=Ik3DXDF3xUzZfj-KqnNFkbxkCbo.,https://rbv01.ku6.com/wifi/o_1bvm7an06nnm1jpr1tf13315hh14
夜唱 徐云霄 吻你之时别再躲,https://www.ku6.com/video/detail?id=CEi93GTprBeaFJPf8Lvae3s05So.,https://rbv01.ku6.com/wifi/o_1bvm42cnnmec11s71ceu1b9ll3a1r
原声带 张东朗 月亮粑粑,https://www.ku6.com/video/detail?id=2tF0x5Va18Vtzf7vLLzHSAoBImI.,https://rbv01.ku6.com/wifi/o_1bvm7a2s218u7e9e5391o93g86o
原声带 边缘行走 那些年的那些人,https://www.ku6.com/video/detail?id=DevafKh50qo4sTd9uOpvaBqlZBw.,https://rbv01.ku6.com/wifi/o_1bvmd944h1dvtfcf1gi1a691fcjp
原声带 疯一样的男人---孟志 风雨迷途,https://www.ku6.com/video/detail?id=bb3MfjoOGUqUunyUxvwe9xn0D3U.,https://rbv01.ku6.com/wifi/o_1bvmdbu4c150b179j1n7373ho221d
原声带 张东朗 兄弟一起飞,https://www.ku6.com/video/detail?id=yp-PpmSTXrdyp_S71b9kJCSmRUg.,https://rbv01.ku6.com/wifi/o_1bvm7a6mi1hq6vfr9ds4p81kius
