name,thirty_day_average_price,thirty_day_change,thirty_day_difference,thirty_day_sales,thirty_day_volume
Sewer Pass,2.7149399237119862,0,31884.254464073565,11744,31884.254464073565
Checks - VV Edition,0.35737803355454295,457.28275959126023,8273.791752311608,23202,8291.885134532506
LoudPunx,1.9352948714049587,0,468.34135888000003,242,468.34135888000003
Comedian | Open Editions by Highlight,0.09543336552222209,0,436.4167805331216,4573,436.4167805331216
10KTF Stockroom,0.536550786192237,0.8379135932065013,739.7189907873352,3024,1622.5295774453245
Opepen Edition,0.062366015103558055,0,1695.9814147261577,27194,1695.9814147261577
Otherdeed for Otherside,2.9138058474047477,-0.03790811161955484,-263.257203090915,2293,6681.356808099086
Chungos,0.02585655279341374,0,360.51791559856775,13943,360.51791559856775
Lamborghini Automobili,0.5295077160493823,0,171.56049999999988,324,171.56049999999988
ENS: Ethereum Name Service,0.24828403995047074,-0.04329788228806318,-110.88373960913623,9868,2450.0669062312454
The Captainz,5.3035980926636785,0,10320.801888323518,1946,10320.801888323518
The Harvest by Per Kristian Stoveland,5.911945044626794,0,2471.193028654,418,2471.193028654
The Memes by 6529,0.9050456767845649,2.806888241782799,6879.264874693047,10309,9330.11588197208
Createra Genesis Land,0.800121114436495,0,2766.8188137213997,3458,2766.8188137213997
LoudPunx Official,0.6082375000000001,0,136.2452,224,136.2452
Rainbow Zorb,0.317185427348838,67.55084663142569,134.40011962010033,430,136.38973376000033
SWAGGA NFTs,0.2789295780741305,0,126.35509886758112,453,126.35509886758112
Mutant Ape Yacht Club,16.626971425569838,-0.013535312144738102,-124.10771572906378,544,9045.072455509991
Kiyoshi's Seeds Project,0.08596975624797866,0,606.1727513044975,7051,606.1727513044975
MG Land,0.3853542743380149,472.8740605446459,652.5662035516112,1697,653.9462035516112
MEGA 404: Fridge,0.4747396313364054,0,103.01849999999997,217,103.01849999999997
XORE NFT,0.5716488992702126,0,100.61020627155742,176,100.61020627155742
Aijin NFT,0.5798608625417272,0,91.03815541905117,157,91.03815541905117
2022-23 SuperCup Of Spain,0.48010891200000005,0,600.1361400000001,1250,600.1361400000001
what the fluff?,0.09655642322417905,0,772.4513857934325,8000,772.4513857934325
a KID called BEAST,0.4772962852835268,0,6189.578227556775,12968,6189.578227556775
Cryptorex OfficaI,0.5766928300564136,0,81.89038186801073,142,81.89038186801073
10KTF,0.806128368351444,-0.13815293321924518,-79.34187839121455,614,494.9628181677866
Paragraph 🤝 Highlight,0.45202767403314914,0,81.817009,181,81.817009
PORSCHΞ 911,1.7546094521936215,0,2917.9155189979924,1663,2917.9155189979924
Bored Ape Yacht Club,77.41935794392522,-0.2967553131913144,-3495.629427679991,107,8283.871299999999
Asterfi,0.589309085365854,0,96.64669000000006,164,96.64669000000006
CryptoPunks,80.13401191709848,0.07865755544314318,1127.797300000002,193,15465.864300000007
10KTF Kagami,2.2526674390243904,1.46343211130106,109.734431,82,184.71873000000002
CLONE X - X TAKASHI MURAKAMI,6.396311278481018,-0.4328346501400969,-1542.5136056163926,316,2021.2343640000015
Get a Mac (Remix) | Open Editions by Highlight,0.8828513513513514,0,65.331,74,65.331
Pudgy Penguins,6.627701013392754,-0.5257278279177224,-1645.6756733874472,224,1484.6050269999769
Azuki,15.01365525547446,-0.22818708192862222,-608.1154226900003,137,2056.870770000001
CHRYSALISM: DNA,0.06734311315186595,0,240.4822570653133,3571,240.4822570653133
Doodles,7.719517288630136,0.3585328343151684,594.8833183809995,292,2254.09904828
DigiDaigaku Masked Villains,0.43660491685649894,0,1647.3103512995706,3773,1647.3103512995706
QzukiNFT,0.06419251025309658,0,470.7878701962103,7334,470.7878701962103
Bored Ape Kennel Club,8.71728579907578,-0.10336273965651006,-590.8889117802864,588,5125.764049856559
DenDekaDen Genesis Omikuji,2.5635575779816517,0.054768939500780094,14.509303777777973,109,279.42777600000005
Meebits,3.889737068837351,-0.3529596116027389,-449.83136022208294,212,824.6242585935184
Bit Bears by Berachain,1.6786508695652176,2.5628256609651636,55.54471000000001,46,77.21794000000001
MERGE VV,0.028877763782894396,49745.46026662666,636.7418914128215,22050,636.7546914128214
The Potatoz,1.983154424069823,-0.23734609372016224,-809.7388145794748,1312,2601.8986043796076
KILLABEARS,4.618299473684211,0.09335193772851257,67.42819900010397,171,789.7292100000001
Memo Angeles Presents: The Killa Chronicles,0.023635620869008486,0,62.61075968200348,2649,62.61075968200348
META KONGZ OFFICIAL,0.9047275890410954,2.624228606971605,239.10947170399987,365,330.22556999999983
Steady Stack Titans Official,3.386019820512821,1.1651912110991425,213.19465010000008,117,396.16431900000003
Kubz,1.2920326288628599,-0.21159604923595302,-528.4661945405576,1524,1969.0577263869984
dotbit(.bit): Web3 Identity,0.4975505257701458,2.0759700422610843,229.3490121010097,683,339.8270091010096
64 BIT SPECTRUM,0.04248457099717942,0,61.77256622989888,1454,61.77256622989888
WaVyScApE by Holger Lippmann,1.0589313628225807,0,131.30748899,124,131.30748899
Chromie Squiggle by Snowfro,17.192214529487178,-0.16477413092423282,-264.5522850600005,78,1340.9927332999998
YOU THE REAL MVP,34.131877777777774,-0.2562679535070315,-105.84747366794204,9,307.1869
9 ZONES,0.03510739735813949,0,37.740452159999954,1075,37.740452159999954
Dooplicator,1.0951508381688715,0.7387810007206012,457.40224277010077,983,1076.5332739200007
Lil Pudgys,0.6237813316700598,-0.5481373253839859,-930.7228843357599,1230,767.2510379541735
Eth Longnecks,0.012798292510341105,0,30.984666167535817,2421,30.984666167535817
Proceed w/ Caution,0.3182014498920996,0,3878.5574727348016,12189,3878.5574727348016
The Merge: Regenesis,0.049028554471528527,20.856872447938592,28.77301499807183,615,30.152560999990044
The Treachery of Images | Open Editions by Highlight,0.47766672413793104,0,27.70467,58,27.70467
Valhalla,1.063349400959836,-0.8290257563336726,-7703.071349089083,1494,1588.644005033995
Wolf Game,1.069303182487999,-0.7643762584347796,-1671.9990985650088,482,515.4041339592155
Galxe ETH Merge NFT,0.704427775,407.36392753623176,25.2972999,36,25.3593999
Zora API Genesis Hackathon,0.6599543947368423,12677.598078867544,25.076289000000003,38,25.078267000000004
LoudPunx NFTs,0.5835208908444594,0,24.50787741546729,42,24.50787741546729
Terraforms by Mathcastles,3.7802988298759357,-0.4869736291513502,-864.7865543778368,241,911.0520180001005
Moonbirds,8.584215603439658,-0.34159099814174243,-516.6176785009993,116,995.7690099990002
Friendship Bracelets by Alexis André,0.6818868708814679,0.9298734102095663,1997.6109713868473,6080,4145.872174959325
SleepyJoe Digital Trading Cards,0.43754128078817717,-0.6413479503467447,-158.83107148298188,203,88.82087999999996
Mutant Hounds,1.0968944668318281,0,4087.028783415392,3726,4087.028783415392
FreeNFT.xyz Gold Aura,0.15984374100719426,51.1543625736485,21.792270000000002,139,22.218280000000004
Moonbirds Oddities,1.3125708716363589,-0.12630618550583406,-52.18201130000091,275,360.9569896999987
CryptoNinja Partners,2.3560124560669458,-0.24619909996821865,-183.9099779999999,239,563.086977
Genesis Box,0.25683381395206945,0.9217613766466185,189.0948176188366,1535,394.2399044164266
Score NFT V2,0.9175545454545456,0,20.186200000000003,22,20.186200000000003
Something's Fishy Official,0.11163012027972037,0,31.926214400000028,286,31.926214400000028
NFT Worlds,1.3748456319560955,2.502549375595814,312.37728563122727,318,437.2009109620384
ikehaya Pass,0.16593284570542532,0,1470.6628114871846,8863,1470.6628114871846
KILLABITS,0.931783394265233,-0.01847504218513824,-4.893315986366076,279,259.96756700000003
Mutant Hound Collars,1.6273078431803127,-0.3054787261278472,-2073.025716716954,2898,4713.128406007006
RTFKT Animus Egg 🥚,0.8015507647730659,-0.20472286306311674,-168.99069180222784,819,656.470076349141
RENGA,1.78466709037807,-0.0808485991370976,-83.04210189009939,529,944.088890809999
HUG Official,0.06338141263940522,0,17.049600000000005,269,17.049600000000005
Redacted Remilio Babies,0.1874435584619226,104.17789971491167,358.88348850689636,1933,362.32839850689635
Angry Apes Society,0.03933469888407451,0,643.9876901300679,16372,643.9876901300679
DigiDaigaku Genesis,11.911518181818183,2.242003347737927,181.22270000000003,22,262.0534
archive edition,0.1466265533360384,39.27510627308759,363.47023017352365,2542,372.72469858020963
Night Run by Matto (A film by Zora),0.30239605277692305,0,15.724594744399997,52,15.724594744399997
Hashmasks,0.4990787938876892,-0.27490438962451136,-31.03125667316928,164,81.84892219758103
Seize The Meebs!,0.2648284720284613,0,2074.136592926909,7832,2074.136592926909
Dark Labs Membership,1.0362309916022898,0,135.74625989989997,131,135.74625989989997
CHRYSALISM DNA,0.3683358974358975,0,14.365100000000004,39,14.365100000000004
Cool Cats: Fractures,0.1634874855554583,0,184.25039622100152,1127,184.25039622100152
Pudgy Rods,0.5961732676984723,-0.48622049372306264,-251.63082418128585,446,265.89327739351864
Creepz by OVERLORD,1.8411204260204066,-0.6375411290019108,-634.7281234780003,196,360.8596034999997
mfers,1.7468902282440713,-0.4126934656071833,-391.5786981679487,319,557.2579828098587
Wolf Game - Farmer,0.9149749059134176,-0.5097920371910554,-473.8612678965251,498,455.65750314488196
RTFKT- MNLTH X,0.38333794539398464,-0.7513996901844694,-517.91522740889,447,171.35206159111112
Khuga by Khuga Labs,0.04327900090531571,0,322.8613467536552,7460,322.8613467536552
Nitro Collection by PUMA,0.41483684509883856,1.922871582596444,96.33687942989002,353,146.43740631989002
Dragon Fish Tokyo space war,0.035095627233375226,0,19.54826436899,557,19.54826436899
Voxels (formerly Cryptovoxels),0.40208242211508954,-0.15469802519159562,-8.903757924174172,121,48.65197307592584
Fontana by Harvey Rayner | patterndotco,8.043455428571429,-0.5544459440600022,-140.1294781363,14,112.60837599999999
Dangiuz Editions,0.055663541570226294,0,218.36807357999774,3923,218.36807357999774
Quirkies Originals,1.2286094248364672,-0.3517993151256185,-111.35656292585492,167,205.17777394769
FLUF World,3.1293668330434774,-0.6758824297655806,-750.4519627855494,115,359.8771857999999
Pepsi Mic Drop,0.4533419444444444,3.8342150473933647,12.94431,36,16.32031
DEGEN TOONZ COLLECTION,0.9156905319980596,-0.5921030089608567,-821.455355326637,618,565.8967487748008
Wolf Game - Genesis Land,1.2943480291339118,-0.5013372503198741,-988.9804493064427,760,983.7045021417729
feetpix.wtf,0.06900718092719123,0,1982.231272133568,28725,1982.231272133568
Kanpai Pandas,2.129466646806856,0.04613853412006267,60.29488388794289,642,1367.1175872500016
