img,introduction,title
//img2.chinadaily.com.cn/images/202302/16/63edfc29a31057c4b4b542b4.jpeg,更好统筹供给侧结构性改革和扩大内需，是党中央基于我国经济运行规律和外部发展环境变化作出的战略部署。,专家：供给侧改革对促进经济复苏至关重要
//img2.chinadaily.com.cn/images/202302/16/63edef19a31057c4b4b541c6.jpeg,近日，中国石油西南油气田的蓬深6井顺利完钻并成功固井，井深最深达到9026米，刷新亚洲最深直井纪录。,每日一词∣蓬深6井 Pengshen-6 well
//img2.chinadaily.com.cn/images/202302/16/63ede51aa31057c4b4b54103.jpeg,高频形容词“tired（累）”的英式俚语说法之一是“knackered”。那么“pleased（开心的）”、“annoyed（恼火的）”等词的英式俚语版本分别是什么？,几个高频形容词和其对应的英式俚语说法
//img2.chinadaily.com.cn/images/202302/15/63eca39ea31057c4b4b52eb8.jpeg,2月13日，我国发布2023年中央一号文件，提出九方面重点工作全面推进乡村振兴。文件指出 ，全面建设社会主义现代化国家，最艰巨最繁重的任务仍然在农村。,每日一词∣全面推进乡村振兴 comprehensively promote rural vitalization
//img2.chinadaily.com.cn/images/202302/15/63eca2dda31057c4b4b52e95.jpeg,“套近乎”或“拉近乎”，形容“和不太熟识的人拉拢关系，表示亲近（try to get in good with someone）。,一课译词：套近乎
//img2.chinadaily.com.cn/images/202302/15/63eca299a31057c4b4b52e6e.jpeg,今年，北京将支持头部企业打造对标ChatGPT的大模型。将探索人工智能安全、科技伦理治理机制，持续推动建设具有全球影响力的人工智能创新策源地。,北京：支持头部企业打造对标ChatGPT的大模型
//img2.chinadaily.com.cn/images/202302/15/63ec9aa9a31057c4b4b52d96.jpeg,环联最新季度报告显示，美国信用卡债务总额在2022年底达到创纪录的9306亿元，同比增长18.5%，平均信贷余额上升至5805美元。,高通胀和加息双重压力下：美国民众信用卡债务恶化 增长18.5%创新高
//img2.chinadaily.com.cn/images/202302/15/63ec8883a31057c4b4b52b75.jpeg,据对全国流通领域9大类50种重要生产资料市场价格的监测显示，2023年2月上旬与1月下旬相比，12种产品价格上涨，35种下降，3种持平。,国家统计局：2月上旬35种产品价格下降
//img2.chinadaily.com.cn/images/202302/15/63ec3e45a31057c4b4b52533.jpeg,今日播报内容：公共领域车辆全面电动化先行区试点启动; ChatGPT火速走红，它可能取代哪些职业？,双语新闻播报（February 15）
//img2.chinadaily.com.cn/images/202302/14/63eb5715a31057c4b4b51c00.jpeg,“吹牛”，或“吹牛皮”，字面意思是“blow the cow away”，用来比喻“吹嘘、夸口（boast，brag）”。,一课译词：吹牛
//img2.chinadaily.com.cn/images/202302/14/63eb55a0a31057c4b4b51bc8.jpeg,因种族歧视、高等教育的高成本及其他外部原因，美国非洲裔大学生学位或证书课程完成率低于其他族裔群体。,受种族歧视、教育高成本等影响 美国非裔大学生毕业率低于其他族裔群体
//img2.chinadaily.com.cn/images/202302/14/63eb6916a31057c4b4b51ca6.jpeg,2月13日，国家能源局新闻发布会在京举行。会上发布的数据显示，2022年全国风电、光伏发电新增装机突破1.2亿千瓦，创历史新高。,国家能源局：风电、光伏发电创历史新高
//img2.chinadaily.com.cn/images/202302/14/63eb1d88a31057c4b4b5173a.jpeg,世界数字教育大会2月13日至14日在北京举行。本次大会以“数字变革与教育未来”为主题，由教育部、中国联合国教科文组织全国委员会共同举办。,每日一词∣世界数字教育大会 World Digital Education Conference
//img2.chinadaily.com.cn/images/202302/14/63eaff59a31057c4b4b515f5.jpeg,hand in hand的意思是“手拉手；密切关联；相连带”，如果你想用英语表示两个人手拉手，就可以用这个短语来形容，除此之外，当两件事有紧密联系，可以用这个短语来表示两件事密切关联。,Hand in hand?
//img2.chinadaily.com.cn/images/202302/14/63ead373a31057c4b4b50e23.png,中国国家邮政局发布的数据显示，2023年1月，中国快递发展指数为265，与去年农历同期相比提升1.5%。其中发展规模指数同比提升19.4%。,每日一词∣快递发展指数 express delivery development index
//img2.chinadaily.com.cn/images/202302/13/63ea1263a31057c4b4b50a12.jpeg,“打折扣”或“打折”表示“降低商品价格（sell at a discount）”。汉语中的折扣表达和英语中的不同。,一课译词：打折扣
//img2.chinadaily.com.cn/images/202302/14/63eb574ea31057c4b4b51c17.jpeg,中国出境游有序恢复并迅速回暖，展现中国经济活力与潜力，有利于重振全球旅游市场，带动旅游目的地消费及整体经济增长前景。,出境游有序恢复提振全球对中国经济的信心与期待
//img2.chinadaily.com.cn/images/202302/13/63ea0c7aa31057c4b4b509d7.jpeg,今日播报内容：研究：含糖饮料可能导致头秃；科学家发现这6种生活方式可减缓记忆衰退；澳央行：澳大利亚新钞票将移除英国君主形象。,双语新闻播报（February 13）
//img2.chinadaily.com.cn/images/202302/14/63eaf0f1a31057c4b4b513ad.jpeg,北京市文物局发布的年度文博领域重点任务显示，北京大力推进“博物馆之城”建设，今年年内一批博物馆、文化公园将“上新”。,北京年内“上新”一批博物馆、文化公园
//img2.chinadaily.com.cn/images/202302/10/63e65b57a31057c4b4b4e860.png,“柠檬精”，网络流行语，柠檬是一种味道很“酸”的水果，而形容一个人“善妒（jealous）”，可以说这个人总是“酸溜溜的”。,一课译词：柠檬精
